Scheme Name,Description,Eligibility
Mukhyamantri Septic Tank Safai Yojana,"The Mukhyamantri Septic Tank Safai Yojana was launched by the Delhi government to provide free septic tank cleaning services in unauthorized colonies. The scheme aims to improve waste management, prevent water pollution, and ensure the safety of sanitation workers by eliminating manual scavenging. Under this scheme, the Delhi Jal Board (DJB) will deploy 80 trucks with trained staff to clean septic tanks and safely dispose of the waste at sewage treatment plants.","Residency: Must be a resident of Delhi.
Location: Applicable to residents of unauthorized colonies without sewer pipelines.
Service Scope: Only septic tanks will be cleaned under this scheme."
Mukhyamantri Muft Sewer Connection Yojana,"The Delhi government launched the Mukhyamantri Muft Sewer Connection Yojana to provide free sewer connections to households in 787 colonies where sewer lines have already been laid. Residents who apply for the scheme before 31 March 2020 can avail of free sewer connection without paying any development, connection, or road-cutting charges.","Residency: Must be a resident of Delhi.
Location: Must be in one of the 787 colonies where sewer lines are laid.
Application Deadline: Must apply before 31 March 2020."
Goa Ration Card Online Application,"The Goa government is inviting online applications for ration cards through goa.gov.in. Citizens can apply for new ration cards, include names in existing cards, and check their application status. The ration card is an essential document for availing subsidized food grains and other benefits under state-sponsored schemes.","Residency: Must be a permanent resident of Goa.
Age Requirement: Applicant must be at least 18 years old.
Head of Family: The applicant should be the head of the family.
No Duplicate Ration Card: The applicant must not possess a ration card in any other state."
Jai Kisaan Mobile App,"The Goa government has launched the Jai Kisaan App to assist farmers with crop management, weather forecasts, market prices, fertilizer calculations, and expert consultations. The app was designed as part of the Digital India initiative and developed by the Adventz Group to support Goa’s self-sufficiency in horticulture.","Residency: Must be a farmer residing in Goa
Access: Available free of cost to all farmers
Device Compatibility: Requires a smartphone with internet access"
Goa Ration Card List 2019-2020 (District Wise),"The Department of Civil Supplies, Goa has released the district-wise ration card list for 2019-2020 online at goacivilsupplies.gov.in. Residents who applied for a new ration card or name inclusion can now check their names in the APL / BPL / NFSA list. This list helps beneficiaries avail subsidized food grains and benefits under the National Food Security Act (NFSA).","Residency: Must be a permanent resident of Goa.
No Existing Ration Card: Families not already holding a ration card in Goa are eligible.
Newly Married Couples: Eligible to apply for a new ration card.
Expired Temporary Ration Cards: Those whose temporary ration card has expired can apply.
Economic Condition: Eligibility depends on household income and financial status."
Goa Laadli Laxmi Scheme (Modified 2019),The Goa Laadli Laxmi Scheme provides financial assistance of ₹1 lakh to eligible girls for marriage or other essential expenses. This initiative aims to eliminate the perception that a girl’s birth is a financial burden and empower women financially. The scheme was initially launched in 2012 and was modified in 2019 to introduce an income limit for eligibility.,"Age: Girls between 18 to 40 years.
Marriage Registration: Must be registered on or after April 1, 2012.
Residency & Education:
The girl must be born in Goa OR
Must have studied up to Class 10 in Goa.
Parental Income Limit:
Parents’ annual income must not exceed ₹8 lakh.
Government Employees:
Daughters of state and central government employees are now eligible.
Parents must provide a 25-year service certificate issued by the Head of Department (HOD)."
Goa Employment Exchange Online Registration & Labour and Employment (L&E) Card,"The Goa Employment Exchange has introduced an online registration system at goaonline.gov.in to streamline the registration process for job seekers. This replaces the manual employment exchange registration and creates a centralized database of unemployed and employed individuals in Goa. The initiative also includes the issuance of a Labour and Employment (L&E) Card, which is mandatory for job seekers.","All job seekers (employed/unemployed) in Goa are required to register.
Labour class workers (e.g., construction workers) must register online.
Employers must ensure their employees are registered."
Goa Ashraya Adhar Scheme 2019 (Revised) for Scheduled Tribes (STs),"The Goa Government has revised the house loan assistance under the Ashraya Adhar Scheme from ₹2 lakh to ₹5 lakh for Scheduled Tribe (ST) applicants. This financial support is offered as a loan at 2% simple interest per annum for house repair, reconstruction, or renovation. The Goa State Scheduled Tribes Finance and Development Corporation (GSSTFDCL) oversees this scheme.","ST category applicants with their own house (including mundcarial houses)
Age Limit: Up to 55 years (relaxed to 58 years for state/central government employees)
Net Monthly Income should be proportionate to EMI of the loan
2 Guarantors required who will guarantee loan repayment"
Goa Revised Cyberage Student Scheme 2018-19,"The Goa government has introduced the Revised Cyberage Student Scheme to provide free laptops to Class 11 students, but with a key change—laptops will remain the property of schools instead of being owned by students. This revision ensures laptops are reused for future batches and prevents misuse, such as reselling.","Residency: Must be a permanent resident of Goa
Education Level: Must be enrolled in Class 11 in a Goa school (Arts, Science, or Commerce stream)
Ownership Clause: Students must return the laptop after completing Class 12
Liability Clause: Students will be responsible for any damage to the laptop"
Goa Inter Caste Marriage Scheme,"The Goa government has revised the Inter Caste Marriage Scheme, increasing the incentive from ₹1 lakh to ₹2.5 lakh for couples where one spouse belongs to the Scheduled Caste (SC) category. The scheme aims to promote social equality and eliminate caste-based discrimination by encouraging inter-caste marriages.","Residency: Must be permanent residents of Goa
Marriage Registration: The couple must have registered their marriage and lived together for at least one year
Claim Period: The incentive must be claimed within three years of marriage
Fixed Deposit Clause: The entire amount is deposited as an FD in a nationalized bank with a 3-year lock-in period
Utilization Certificate: After withdrawing the amount, the couple must submit a utilization certificate within 3 months"
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) for Fishermen,"The Goa government has launched PMJJBY to provide life insurance coverage to fishermen and crew members against accidental death at sea. Given the high risks involved in fishing, such as drowning, rough weather conditions, and natural calamities, the scheme provides ₹2 lakh as compensation to the victim’s family.","Residency: Must be a resident of Goa for at least 15 years
Occupation: Must be engaged in fishing or sea-related activities
Age Limit: Must be between 18 to 50 years
Membership: Must be a member of a Fisheries Co-operative Society
Health Requirement: Must submit a good health certificate and a self-declaration of not suffering from acute illness
Bank Account: Must possess an active savings bank account for auto-debit of premium"
Goa Coconut Subsidy Scheme,"The Goa government launched the Coconut Subsidy Scheme to provide affordable coconuts to consumers and stabilize prices in the market. Under this scheme, Goa State Horticulture Ltd. (GSHCL) will supply subsidized coconuts at reduced prices, making them more accessible to the public. The state government will also bear the transportation and margin costs to ensure affordability.","Residency: Must be a resident of Goa
Purchase Limit: A person can buy up to 30 coconuts per month (15 at a time)
Proof of Identity: Must show an LPG Card to avail the subsidy"
Gujarat Electricity Duty Exemption Scheme,"Launched by the Gujarat government, this scheme allows industrial units to apply for an electricity duty waiver through an online portal. The initiative aims to simplify the approval process, reducing clearance time from six months to 24 hours with a 90-day review provision. The scheme is part of Gujarat’s efforts to promote industrial growth and ease of doing business.","Industrial units operating in Gujarat.
Must comply with state electricity regulations and submit required documents through the CEICED portal.
Only valid for businesses meeting power usage criteria specified by the government."
Electricity Bill Waiver Scheme (Bijli Bill Mafi Yojana),"The Gujarat government has launched an electricity bill waiver scheme to provide relief to rural electricity consumers. Under this scheme, consumers can regain disconnected power connections by paying a nominal fee.","Applicable to rural residents of Gujarat.
Covers households, agriculture, and commercial users.
Consumers must pay ₹500 to restore their electricity connection."
Pradhan Mantri Fasal Bima Yojana (PMFBY),"The Pradhan Mantri Fasal Bima Yojana (PMFBY) is an initiative by the Gujarat government that allows farmers to insure their crops against natural calamities. The scheme enables farmers to apply online, calculate their premium, and check their application status through the iKhedut portal.","Open to all farmers in Gujarat.
Loanee farmers must apply mandatorily, while non-loanee farmers can opt in voluntarily.
Farmers need to apply before the specified deadlines for their respective crops."
,"The Gujarat government’s NAMO E-Tab Scheme provides subsidized tablets to meritorious students to enhance digital education. Under this scheme, eligible students can receive a branded Acer/Lenovo tablet by paying a nominal fee.","Students must be permanent residents of Gujarat.
Must have secured merit in the 12th class.
Must be enrolling in the first year of college or a polytechnic course."
,"The Vahli Dikri Yojana is a financial assistance program launched by the Gujarat government to promote the education and welfare of girl children. Under this scheme, monetary incentives are provided at different stages of a girl’s education and upon reaching adulthood.","The girl child must be a permanent resident of Gujarat.
The scheme is applicable to the first and second daughters of a family.
The annual family income must be below ₹2 lakh."
,The Gujarat government’s CNG Sahbhagi Yojana facilitates the establishment of new CNG stations through a franchisee and OMC-dealer model. The initiative aims to increase the number of CNG stations in urban and highway areas.,"Open to individuals and entities interested in setting up a CNG station.
Applicants must own land for the station setup.
Compliance with the Gujarat Gas Company Ltd (GGCL) and Sabarmati Gas Ltd (SGL) regulations."
Bhulekh Naksha – Gujarat Land Records System,"The Gujarat government provides online access to land records through the AnyROR (Any Records of Rights) portal. This system allows citizens to check land details, survey numbers, ownership records, and revenue case data without visiting government offices.","Open to all citizens of Gujarat.
Users must provide valid land details such as survey number or khata number.
Landowners can apply for digital copies of their records through the portal."
Gujarat Ration Card Scheme,"The Gujarat government issues ration cards under different categories (APL, BPL, NFSA, Non-NFSA) to provide subsidized food and essential commodities to eligible households through PDS (Public Distribution System). The scheme ensures food security for economically weaker sections.","Must be a permanent resident of Gujarat.
Households without an existing ration card are eligible to apply.
Newly married couples and individuals with expired temporary ration cards can apply.
Eligibility is determined based on household income and economic status."
Gujarat Voter List & ID Card Registration,"The Gujarat government facilitates online voter registration and voter list updates through the Chief Electoral Officer’s (CEO) portal. Citizens can download voter ID cards, check their electoral details, and update their records online.","Must be an Indian citizen and a permanent resident of Gujarat.
Must be at least 18 years old as per the eligibility cutoff date.
Must provide valid identity proof and address documentation."
Saraswati Sadhana Yojana,The Saraswati Sadhana Yojana is a government initiative aimed at promoting education for Scheduled Caste (SC) girls by providing them with free bicycles. The scheme helps reduce dropout rates and improve access to secondary education.,"The applicant must be a girl belonging to the SC category.
Must be enrolled in the 9th standard in a government or government-aided school.
Annual family income should not exceed ₹1.2 lakh (rural) or ₹1.5 lakh (urban)."
Atal Bihari Vajpayee Shramik Avagaman Yojana 2020,"Launched by the Haryana government, this scheme provides free bus passes to construction workers, allowing them to travel at no cost between their homes and workplaces using state transport (Haryana Roadways). The initiative aims to ease financial burdens on low-income laborers and ensure better accessibility to work.","Must be a registered construction worker in Haryana.  
Must provide proof of employment in the construction sector.  
The free bus pass is applicable only for Haryana Roadways buses."
Haryana Voter List 2020,"The Haryana CEO Voter List 2020 provides an updated electoral roll for citizens to check their voter registration status. The list, available online, allows voters to search their names by voter details or EPIC number and download their voter ID cards. The initiative ensures transparency and ease of access for voters ahead of elections.","Must be a resident of Haryana.  
Must be a registered voter with a valid EPIC number.  
The list is open for all citizens to check and download their voter information through the CEO Haryana website."
Bhavantar Bharpayee Yojana (BBY),This scheme supports farmers by compensating them for price deficits if their horticultural produce is sold below the Minimum Support Price (MSP). The initiative aims to reduce risks for farmers and encourage crop diversification by ensuring stable income.,"Farmers must register online at the BBY portal (fasalhry.in) within the specified time frame.  
Only horticultural crops included in the scheme are eligible for compensation.  
Farmers must sell their produce using the J-Form and upload transaction details on the BBY portal."
Haryana Job Fair Portal (Rojgar Mela),"An initiative by the Haryana government to connect job seekers with employment opportunities through an online job fair portal. Various national and multinational companies participate in recruitment drives, helping unemployed youth find suitable jobs.","Candidates must register on the official portal (hrex.gov.in).  
Eligibility depends on the qualifications and job requirements listed on the portal.  
Applicants must actively apply for available vacancies during job fairs."
Haryana Free Laptop Scheme,A scheme by the Haryana government to provide free laptops to meritorious students from government schools who have scored more than 90% in Class 10 board exams. The initiative aims to support digital education and encourage academic excellence.,"Students must have scored 90% or above in Class 10 state board exams.  
Beneficiaries must be from government schools in Haryana.  
Special quotas exist for SC category students and those from Below Poverty Line (BPL) families."
Meri Fasal Mera Byora,"An online portal designed to help farmers register their crop details for government procurement and benefits. The scheme ensures farmers receive timely subsidies, compensation for crop loss, and access to agricultural support.","Farmers must register their crop details on the official portal (fasal.haryana.gov.in).  
Land ownership or tenancy documents are required.  
Registration must be completed within the designated period for each crop."
Haryana Parali Incentive Scheme,A scheme providing financial incentives to small and marginal farmers who do not burn stubble after harvesting. The initiative aims to curb air pollution and promote sustainable farming practices.,"Farmers must own less than 5 acres of land.  
Only non-Basmati paddy farmers are eligible for the Rs. 100 per quintal incentive.  
The scheme applies only to farmers registered with the state agricultural department."
Haryana Udyog Mitra Scheme,An initiative under the Haryana Skill Development Mission (HSDM) to partner with industries for training and employment programs. The scheme focuses on skill development through apprenticeship-based learning.,"Open to industries, training partners, industry associations, and manpower companies.  
Organizations must be willing to provide NSQF-aligned and placement-linked training.  
Applicants must submit proposals through the official HSDM website."
Manohar Jyoti Solar Home Lighting System,"A renewable energy initiative providing solar home lighting systems to rural households without electricity. The scheme subsidizes solar kits, including panels, batteries, fans, and lights, to improve energy access.","Households must be located in rural areas or outside farming lands, at least 1 km from a village.  
Applicants must not have an existing electricity connection.  
Families must contribute a subsidized amount (Rs. 7,500) towards installation costs."
Haryana Roadways Driver Training Scheme,"This scheme, initiated by the Haryana Transport Department, provides heavy vehicle driver training to individuals interested in obtaining commercial driving licenses. The training is conducted at various state-run driving schools, ensuring professional skills development for aspiring heavy vehicle drivers.","Applicants must possess a valid LMV-NT or LTV driving license.  
Must meet the age and educational qualification criteria specified by the transport department.  
Candidates need to submit an online application and pay the required training fee.  
Selection is based on seat availability at different training centers across Haryana."
HP Medha Protsahan Yojana,"The Himachal Pradesh government launched this scheme to provide financial assistance of up to ₹1 lakh to meritorious students for coaching purposes. It aims to help students prepare for competitive entrance examinations like UPSC, NEET, CLAT, IIT-JEE, AIIMS, and NDA by covering expenses such as institution fees and books.","The applicant must be a bonafide resident of Himachal Pradesh.  
The total annual family income must be below ₹2.5 lakh.  
The scheme provides a one-time financial assistance of ₹1 lakh for coaching within or outside the state."
Himachal Pradesh CEO Voter List Initiative,"The Chief Electoral Officer (CEO) of Himachal Pradesh has published an updated voter list, allowing citizens to check their voter registration status online. The initiative aims to facilitate a hassle-free voting process and improve electoral participation.","Open to all eligible voters in Himachal Pradesh.  
Applicants must be 18 years or older.  
Residents can check their voter status online using their name, voter ID number, or polling station details."
HP Single Use Plastic Buy Back Scheme,"Launched on October 2, 2019, this scheme aims to reduce plastic waste by offering a minimum support price of ₹75 per kg for single-use, non-recyclable plastic waste. The initiative promotes environmental sustainability and supports waste collection from rag-pickers, households, and urban local bodies.","Open to all residents of Himachal Pradesh, including rag-pickers, households, and local bodies.  
The plastic waste must be non-recyclable and single-use.  
The collected plastic waste will be used for road construction and as fuel in cement kilns."
HP Mukhyamantri Seva Sankalp Helpline (1100),"This initiative by the Himachal Pradesh government provides a toll-free helpline (1100) for citizens to directly communicate their grievances to the Chief Minister’s Office. The scheme ensures timely redressal of complaints through a dedicated call center, allowing citizens to receive updates on their concerns.","Open to all residents of Himachal Pradesh.  
The helpline is available for complaints regarding any state department.  
Citizens can provide feedback on the resolution of their issues."
HP Sahara Yojana,"The Himachal Pradesh government launched this scheme to provide financial assistance of ₹3,000 per month to patients suffering from severe illnesses. It aims to support economically weaker sections in covering medical treatment costs for chronic diseases like cancer, paralysis, and renal failure.","The applicant must be a permanent resident of Himachal Pradesh.  
Belong to the Economically Weaker Sections (EWS) with an annual family income below ₹4 lakh.  
The applicant must be diagnosed with a severe illness covered under the scheme."
HP Mukhyamantri Him Seva Helpline,This scheme provides a toll-free helpline for residents to directly report grievances to government officials. The helpline is designed to ensure accountability and quick resolution of complaints by routing them to the relevant authorities.,"Open to all residents of Himachal Pradesh.  
Complaints must be related to state government departments.  
The helpline ensures a follow-up call to confirm issue resolution."
HIMCARE Health Scheme,The Himachal Pradesh government introduced this scheme to offer cashless medical treatment up to ₹5 lakh per family per year. The scheme covers hospitalization expenses and pre-defined medical procedures at empanelled hospitals.,"Open to residents of Himachal Pradesh who are not covered under Ayushman Bharat Yojana.  
A maximum of five family members can be enrolled.  
Beneficiaries must register online and pay a premium ranging from ₹0 to ₹1,000, depending on their economic category."
HP MyGov Portal,"The Himachal Pradesh government launched this online portal to encourage citizen participation in governance. The platform allows users to share opinions, participate in discussions, and provide feedback on government policies and programs.","Open to all residents of Himachal Pradesh.  
Requires online registration via social media accounts or direct sign-up.  
Users can engage in discussions, submit suggestions, and vote on policy issues."
Shikhar Ki Or Himachal App,"This mobile application was developed by the Himachal Pradesh government to provide real-time updates on government programs, CM’s initiatives, and other state activities. Citizens can access official announcements, articles, and multimedia content related to government schemes.","Open to all Android and iOS users.  
The app is free to download and use.  
Users must have a smartphone with internet access."
HP Ration Card Scheme,"The Himachal Pradesh government provides ration cards to eligible families, allowing them to purchase essential food supplies at subsidized rates through fair price shops. The scheme aims to ensure food security for economically weaker sections.","The applicant must be a permanent resident of Himachal Pradesh.  
Must meet the income eligibility criteria set by the state government.  
Applications can be submitted online or offline through designated offices."
J&K Ration Card Scheme,"The Jammu & Kashmir Ration Card Scheme enables residents to apply for ration cards, which are essential for availing benefits under various state-sponsored welfare programs. The scheme also allows people to access subsidized food grains through fair price shops.","Residents of Jammu & Kashmir who do not already have a ration card.
Must submit a duly filled application form along with necessary documents.
Inclusion in APL/BPL categories based on family income and economic status."
Jammu & Kashmir Voter List 2020,"The Jammu & Kashmir Voter List 2020 allows citizens to verify their voter registration status, search for their names, and download their Voter ID cards online. The list, published by the Chief Electoral Officer, is accessible through the official website and includes district-wise and polling station-wise details.","Must be a resident of Jammu & Kashmir.
Must be a registered voter.
Can search by name or EPIC number to verify inclusion in the electoral roll.
Those not listed can apply for a voter ID card online through the CEO J&K website."
J&K Government Scholarship Scheme for Differently Abled Students,"This scholarship scheme provides financial assistance to meritorious differently-abled students in Jammu & Kashmir, ensuring their educational and vocational growth. Each selected student receives Rs 1 lakh annually to support their studies.","Students with disabilities residing in Jammu & Kashmir.
Must demonstrate academic merit and financial need.
Open to students pursuing technical, professional, or vocational training."
Ayushman Bharat – PM Jan Arogya Yojana (AB-PMJAY) in J&K,"This health insurance scheme provides cashless and paperless treatment up to Rs. 5 lakh per family annually for secondary and tertiary care hospitalization. It covers over 31 lakh residents in Jammu & Kashmir, ensuring accessible healthcare across empaneled hospitals.","Residents of Jammu & Kashmir, especially poor and vulnerable families.
No age or income limit; available in both public and private hospitals.
Families listed under SECC (Socio-Economic Caste Census) 2011 are automatically eligible."
J&K Group Mediclaim Health Insurance Scheme,"Aimed at government employees, pensioners, and accredited journalists, this health insurance scheme provides coverage of Rs. 6 lakh per annum. It also extends benefits to five dependent family members on a floater basis.","Mandatory for government employees, including PSU and university employees.
Optional for pensioners, AIS officers, contractual workers, and accredited journalists.
Employees contribute an annual premium, deducted in quarterly installments."
Prime Minister’s Special Scholarship Scheme (PMSSS) for J&K Students,"PMSSS provides financial support to students from Jammu & Kashmir for higher education outside the state. The scheme offers scholarships for general, professional, and medical degrees, covering tuition fees and living expenses.","Must be a domicile of Jammu & Kashmir.
Passed 10+2 from J&K Board or CBSE-affiliated schools in J&K.
Annual family income must be less than Rs. 8 lakh.
Admission must be in designated colleges outside J&K."
CM’s Business Interest Relief Scheme,This scheme provides relief to businesses by covering one-third of the total interest payment on RBI-approved restructured loan accounts. It aims to support industries and businesses in Jammu & Kashmir by improving liquidity and reducing financial burden.,"Borrowers with RBI-approved restructured loan accounts.
Businesses must pay two-thirds of the monthly installment, while the government covers the rest.
Available for two years (Jan 2018 – Jan 2020)."
Muhafiz (Guardian) Scheme for Unorganized Workers,"This scheme provides social and economic security to unorganized workers, covering around 3 lakh registered laborers with accidental, life, and disability insurance. It also offers educational scholarships and micro-credit facilities.","Workers registered with J&K Building and Other Construction Workers Welfare Board (JKBOCWWB).
Includes financial aid for children’s education.
Covers workers primarily from rural areas."
J&K Bank Sahafat Finance Scheme,"A specialized financial assistance scheme for journalists, providing easy access to loans for purchasing equipment like cameras, laptops, and books. This initiative aims to support media professionals in their work.","Journalists in Jammu & Kashmir.
Loan amounts range from Rs. 50,000 to Rs. 3 lakh.
Repayment in up to 60 EMIs, with additional insurance coverage."
Sahaj Bijli Har Ghar Yojana (Saubhagya Scheme) – J&K,"This scheme provides free electricity connections to poor households, ensuring universal electricity access in Jammu & Kashmir. Beneficiaries pay a nominal fee of Rs. 500 in 10 installments through electricity bills.","Poor households listed in the Socio-Economic and Caste Census (SECC) 2011.
Applicants must provide identity proof for registration.
Connections are provided at subsidized rates."
Jharkhand Free LPG Cylinders Refill Scheme,"The Jharkhand government provides free LPG cylinder refills to beneficiaries of the Pradhan Mantri Ujjwala Yojana (PMUY). This initiative aims to ensure continued usage of clean cooking fuel, improving health conditions and reducing dependency on unclean cooking fuels. The scheme also includes the distribution of 12 lakh new LPG connections.","Beneficiaries must be enrolled in the PMUY scheme.  
Must be a resident of Jharkhand.  
Applicable to BPL families who have received LPG connections under PMUY."
Jharkhand Voter List & Voter ID Card Download,"The Jharkhand government, in collaboration with the Election Commission of India (ECI), has made the state's voter list available online in PDF format. Citizens can check their names in the electoral rolls and download their Voter ID cards or voter slips through the official CEO Jharkhand website. This initiative simplifies the process of verifying voter registration and ensures easy access to voter details.","Must be a resident of Jharkhand.  
Should be a registered voter in the state.  
Must have valid details such as name or EPIC (Electors Photo Identity Card) number to search in the voter list.  
Citizens can download voter slips for elections by providing district and constituency details."
Jharkhand Ration Card Scheme,"The state government provides ration cards to eligible families under the National Food Security Act (NFSA), allowing them to purchase essential commodities at subsidized rates from PDS shops. The scheme aims to ensure food security for economically weaker sections.","Must be a resident of Jharkhand.  
Should meet the criteria under NFSA for BPL/APL classification.  
Must apply through the official portal and provide necessary documents."
Jharkhand Sahiya Arogya Kunji Yojana,"Launched to improve healthcare access in rural areas, this scheme provides medical kits (Arogya Kunji) to community health workers (Sahiyas). It ensures that villagers have access to basic medicines and healthcare services locally, reducing the need to travel to urban centers for minor treatments.","Rural residents of Jharkhand.  
Community health workers (Sahiyas) are the primary beneficiaries, equipped to provide healthcare services."
Mukhyamantri Sukanya Yojana,"This scheme provides financial assistance to girls from birth until adulthood to encourage education and prevent child marriage. A total of ₹40,000 is distributed in phases through Direct Benefit Transfer (DBT) as the girl progresses through her education.","Must be a resident of Jharkhand.  
The girl must belong to a financially weaker family.  
Assistance is available only if the girl remains unmarried till 20 years of age."
Mukhyamantri Krishi Aashirwad Yojana,"A financial assistance scheme for small and marginal farmers, providing ₹5,000 per acre annually for Kharif crops. The initiative aims to boost agricultural production, reduce dependence on loans, and improve farmers’ financial stability.","Must be a farmer in Jharkhand.  
Landholding should be less than 5 acres.  
Only applicable for Kharif crops."
Jharkhand Old Age / Widow / Viklang Pension Scheme,"The state government has increased the pension amount for senior citizens, widows, and persons with disabilities from ₹600 to ₹1,000 per month. This social security measure aims to support financially vulnerable sections of society.","Must be a senior citizen (60+ years), widow, or person with a disability.  
Resident of Jharkhand.  
Must be registered under the respective social security scheme."
Jharkhand Interest-Free Farm Loan Scheme,Farmers in Jharkhand can avail of interest-free loans if repaid within one year. The state government bears the interest for the first year. The scheme also provides a 50% subsidy for dairy farming to promote the White Revolution.,"Must be a farmer in Jharkhand.  
Loan repayment within one year is mandatory to avail of the zero-interest benefit.  
Additional benefits available for those in dairy farming and allied sectors."
Jharkhand Paddy Procurement Scheme,"The state government purchases paddy from farmers at ₹1,750 per quintal (Minimum Support Price) to ensure fair pricing and financial stability for farmers. The payment is directly transferred to farmers' bank accounts.","Must be a farmer growing paddy in Jharkhand.  
Registered with the paddy procurement centers.  
Payment is made only through NEFT/RTGS/DBT modes."
Jharkhand SC/ST Civil Seva Protsahan Yojana,"This scheme provides ₹1 lakh assistance to SC/ST students who clear the UPSC preliminary examination, helping them prepare for the mains. The financial aid is directly credited to their bank accounts.","Must belong to the SC/ST category.  
Must be a resident of Jharkhand.  
Must have cleared the UPSC preliminary exam.
Annual family income must not exceed ₹2.5 lakh."
Karnataka Saptapadi Vivah Yojana 2020,"Launched by the Karnataka government, this mass marriage scheme provides financial assistance of ₹55,000 to newlywed couples who register at designated temples. The initiative aims to support traditional marriages and ensure financial aid for eligible couples.","The couple must be permanent residents of Karnataka.  
The marriage must take place at a shortlisted temple under the Religious Endowment Department.  
Parents of both the bride and groom must attend the ceremony.  
Love marriages or marriages without parental consent are not eligible."
Raitha Siri Scheme,"A scheme to promote millet farming in Karnataka by providing ₹10,000 per hectare as direct cash assistance to farmers. Additional support is given for organic and micro-irrigation practices.","Must be a millet farmer in Karnataka.  
Assistance is provided through Direct Benefit Transfer (DBT).  
Available for small and marginal farmers."
Kaushalya Karnataka Scheme,"An ambitious skill development initiative by the Karnataka government aimed at unemployed youth. The scheme provides industry-ready training to enhance employability and offers registration for aspirants, training providers, and employers via an online portal.","Applicants must be between 18 to 35 years old.  
Unemployed individuals, including school/college dropouts, are eligible.  
20% reservation for ST, 7% for SC, and 15% for OBC candidates.  
Applicants must have an Aadhaar card and residence proof (ration card/voter ID)."
Karnataka Interest-Free Home Loan Scheme,"Under this scheme, the Karnataka government subsidizes interest payments on home loans up to ₹12 lakh in urban areas and ₹6 lakh in rural areas, helping individuals purchase homes while only repaying the principal amount.","The scheme is available for individuals in both rural and urban Karnataka.  
Beneficiaries must take loans under approved government housing schemes.  
The interest subsidy applies for a maximum loan tenure of 15 years."
Karnataka Taali Bhagya Scheme,"A government initiative supporting mass marriages for poor Hindu families, offering financial assistance of ₹55,000 per couple, including an 8-gram gold mangalsutra and monetary aid for wedding expenses.","Only Hindu couples marrying in designated temples under the Muzrai department are eligible.  
Parents of both bride and groom must be present at the wedding.  
Registration must be completed at least 30 days before the ceremony."
Karnataka Free Laptop Scheme,"A state initiative providing free laptops to meritorious students who have passed class 12th, particularly those pursuing higher education in fields like medical, engineering, and polytechnic courses.","Must be a permanent resident of Karnataka.  
Preference is given to SC/ST/OBC students.  
The student must have passed class 12th with good grades."
Karnataka Ration Card Scheme,A government initiative that provides subsidized food grains and essential commodities to eligible families through ration cards classified under different categories based on income levels.,"Must be a permanent resident of Karnataka.  
Households without an existing ration card are eligible.  
Newly married couples and households with expired temporary ration cards can apply."
Chief Minister Self Employment Scheme (CMEGP),"A government subsidy program that provides financial aid for rural entrepreneurs, offering 25%–35% subsidy on projects up to ₹10 lakh to promote self-employment.","Applicants must be rural entrepreneurs aged 21–35 years (general category) or 21–45 years (SC/ST/OBC).  
The scheme supports only new manufacturing and service-based businesses.  
A minimum contribution of 10% (general) or 5% (special category) of the project cost is required."
MSME Sarthak Scheme,"A Karnataka government initiative aimed at boosting MSMEs by providing quality raw materials, financial assistance, and branding support to promote industrial growth in tier-2 and tier-3 cities.","The scheme targets MSMEs in Karnataka.  
Priority is given to businesses in backward areas.  
The applicant must be a registered MSME entity."
Gruhalaxmi Crop Loan Scheme,"A scheme offering crop loans to farmers at a reduced interest rate of 3% against the mortgage of gold, silver, or other ornaments, helping farmers access affordable credit.","Must be a farmer residing in Karnataka.  
Loans are available only against pledged ornaments.  
The interest subsidy applies to a fixed loan amount."
Kerala Zero Unemployment Scheme 2020,"Launched by the Kerala government, this scheme aims to achieve zero unemployment in the state within 10 years. It provides a five-year subsidy to new industries that generate employment. The initiative ensures social security for 37 lakh families and focuses on making Kerala an investor-friendly state.","Industries must be registered between 1 April 2020 and 31 March 2025.  
Industries must create new job opportunities to avail subsidies.  
Women employees receive an additional ₹2,000 subsidy compared to male employees.  
Industries have five years to implement the project."
Kerala Ente Koodu (My Nest) Scheme,"A free night shelter scheme for women and children below 12 years of age, offering accommodation, food, security, and basic amenities. Initially implemented in Thiruvananthapuram and Kozhikode.","Open to women and children under 12 years.  
Provides night lodging from 5 PM to 7 AM.  
A stay limit of three consecutive nights per individual."
Incentives for Industries in Kerala,"The Kerala government is easing land restrictions to attract large industrial investments. Private land holding limits will be relaxed for companies investing over ₹250 crore and creating over 1,000 jobs. The state has allocated 1,500 acres for industrial development under the Kochi-Coimbatore Industrial Corridor project.","Industries investing over ₹250 crore.  
Companies generating more than 1,000 jobs.  
Industries in sectors such as life sciences, electronics, hardware, and light engineering."
Kerala Sama Education Plan for Kudumbashree Workers,"This initiative, launched by the Kerala State Literacy Mission, provides educational opportunities for Kudumbashree members. It enrolls workers in Class 10 and 12 equivalency programs to improve their qualifications and employment prospects.","Kudumbashree members who did not complete school education.  
Enrollment is open from 17 December to 31 December.  
Classes are held across 1,000 local bodies with 2,000 central coordinators.  
Fees are covered by local self-governing bodies."
